timestamp,pid,cpu_cycles,inst_retired,inst_spec,l1d_cache,l1d_cache_refill,l2d_cache_refill,ll_cache_miss,ld_spec,st_spec,br_retired,br_mis_pred,crypto_spec,ase_spec,ransomware
1723854526.4045,1001,19221664,41186105,49383301,7936260,270841,81292,7823,10838496,4628477,7304490,272827,6367998,10861974,0
1723854526.8409,1001,9032395,19877551,22046590,4406507,143278,53041,5038,4438306,3210220,3651645,92094,3141974,5142619,0
1723854527.2772,1001,12580181,28353272,32567069,7408109,229607,75795,10591,6134681,1868761,4484197,161064,3051829,7888217,0
1724199707.5089,1002,30534467,41409501,49654659,9313957,240271,65642,9677,12245176,993093,5277601,231735,0,0,1
1724199707.8839,1002,23587623,31799963,32740328,6049719,190888,60820,13980,6682965,2165455,4572024,173206,3539205,3357618,1
1724199708.259,1002,41925108,51183894,57781629,9310751,893657,375445,93246,14822080,8622287,7506977,172689,2516362,1245055,1
1724199708.6341,1002,24144930,31593348,34920510,9904057,797240,311132,98263,9875729,4746707,4113827,92590,6080361,3360429,1
1724277405.186,1003,10074902,18585546,19572372,6015138,30075,4922,912,2176981,637461,3733887,137406,1256019,2463736,0
1724277405.5337,1003,20142835,36706886,45248796,11938767,140365,24172,5705,9876019,9077119,7079823,201883,795188,1785604,0
1724277405.8815,1003,11054339,18639200,22731995,5486184,256286,32701,6173,4751504,454639,3994144,161481,0,3406943,0
1724277406.2292,1003,10695021,20984765,22203399,8596138,156413,25455,4536,4449927,1042773,4486251,140418,55972,1815630,0
1724277406.577,1003,22136579,42134376,43454380,17779631,360951,59310,11333,9858640,869087,8653829,264168,796089,6658882,0
1724277406.9247,1003,21252748,31039781,34409788,10240546,146641,29584,6429,7918919,688195,7514806,283106,678339,201132,0
1724458880.6579,1004,48227547,68970318,82764627,15039515,623227,90804,25417,20170958,10814904,6013146,440167,0,0,0
1724458881.0699,1004,31519442,44909223,52602557,7286384,369545,37518,8542,15197701,9300313,7099179,514253,0,3874916,0
1724458881.4818,1004,64338924,85575636,94694805,12013975,296701,28404,5209,37277026,5976205,9632958,754786,5333074,4540264,0
1724458881.8938,1004,66270973,65707867,82090020,8587802,420151,51036,12609,23328654,14344973,8090777,611409,260697,4542709,0
1724458882.3058,1004,26736192,26975401,28994973,3414868,185273,25205,5200,8326232,6659292,3144288,216181,0,173861,0
1724458882.7178,1004,51420434,68078373,84788012,11266134,506952,64690,15609,22953590,17780142,9237401,764484,3201586,3728579,0
1724458883.1297,1004,32867988,44815543,52403873,10936331,442487,63143,13034,19642143,8738625,4331779,284994,1958955,1974538,0
1724236705.9518,1005,18135586,30097356,34185648,6764472,210087,53504,5250,9949154,4461952,4219040,231423,0,464354,1
