timestamp,pid,cpu_cycles,inst_retired,inst_spec,l1d_cache,l1d_cache_refill,l2d_cache_refill,ll_cache_miss,mem_access,ld_spec,st_spec,br_retired,br_mis_pred,crypto_spec,ase_spec,dp_spec,stall_backend,ransomware
1723563817.6925,1001,16750056,36153026,43179735,10184122,521588,156966,49492,9708850,7786568,5713478,6757754,223442,3097534,2469450,24112702,3898896,0
1723563818.1288,1001,8475918,19184903,21497546,4618643,273559,94184,23839,4913546,4504681,2686779,3030217,94792,0,974504,13331581,2041173,0
1723563818.5652,1001,10558852,25236844,29621309,5115203,222927,64950,17487,5424871,6731354,4553200,4398394,151069,0,2569473,15767281,3104248,0
1724130282.9421,1002,52019405,42483999,44486752,6951396,302075,30657,8336,7561798,15396496,6775378,7195529,287033,741697,0,21573178,6898361,0
1724130283.291,1002,105151524,100350114,112330051,19561839,560539,70354,17391,21247150,32586284,20599606,13756184,633293,7273653,0,51870506,19091806,0
1724130283.6399,1002,56725740,49999498,60000853,8168705,373408,59006,14995,8269742,13899401,7728760,7195055,248142,4833104,1783540,31756045,9700175,0
1724130283.9889,1002,99986739,129877933,155436471,19283505,645724,98205,23496,17681882,38061574,11557623,22538636,914761,0,0,105817273,14141064,0
1724130284.3378,1002,61275222,64930306,77408603,17469113,373326,75724,23520,18340429,22611009,13216721,10455418,428100,0,5751836,35829035,15252101,0
1724130284.6868,1002,65610275,59019922,70753266,11489738,301843,43249,12385,11060028,24870084,10444753,8149929,350564,33713,1831343,33573372,11225055,0
1724284763.7975,1003,23809153,54180344,65599859,4274126,77282,31320,8892,4313903,15893832,8455869,14704744,917632,0,157379,41092778,5368595,0
1724284764.1458,1003,24057585,56632432,61807332,10263968,421673,186735,44698,11270708,16197561,3757824,12140035,828704,1967901,2269070,37614975,5084622,0
1724284764.4941,1003,23817624,49543964,53376643,12887249,338167,150854,34754,11926778,17524281,5162314,10278336,696297,863615,0,29826432,5481278,0
1724284764.8424,1003,22305942,51648419,58179044,11814101,241323,103322,27671,12236263,10525777,9254843,11618592,893739,454162,2148207,35796054,6408741,0
1724284765.1907,1003,25014678,58942636,68968489,11413614,561118,258172,46897,11158356,21948236,7712415,12493673,779625,0,1424103,37883734,5490303,0
1724284765.539,1003,38410063,84131938,101200324,18011007,848639,319329,67403,17107969,28777019,10438384,18939819,1143087,208175,2222641,59554102,11494305,0
1724284765.8873,1003,24316880,54025284,64727365,12222634,363081,175231,36186,11242042,18270831,4228719,10635272,736739,2814646,4352258,35060908,6662579,0
1724284766.2356,1003,21081556,48362689,57313891,13581054,202940,84089,20349,12751207,9661998,2855533,10822896,753739,1313086,2594125,40889146,3872762,0
1724284766.5839,1003,8329361,17515687,19009756,2322735,90960,38782,9480,2501318,5240392,1600018,3643009,246536,547935,425838,11195571,2277207,0
1724284766.9321,1003,9455569,17968050,19313266,2308834,102723,45295,9226,2496078,5381564,2686320,3619022,220249,0,797166,10448214,1935452,0
1724284767.2804,1003,18185443,40285658,50173656,6757701,238105,102981,24578,6165755,13155642,5976813,8884629,665147,825802,3976496,26238902,4119058,0
1723717628.8689,1004,6053357,8136234,8366438,2208370,30510,7626,2373,2088320,1791052,517658,1528997,79316,749718,0,5308009,1369848,0
1723717629.211,1004,17498536,26303386,29977003,5090154,111368,21164,3988,5286941,7522873,1851946,5543179,272638,879318,2419028,17303837,3392191,0
1723717629.5532,1004,7604993,8114638,10065711,2177212,39955,11055,3119,2166342,1194221,815979,1331286,53611,297103,711352,7047054,2099482,0
1723717629.8953,1004,12849036,22129471,24570169,2663303,97778,17398,3648,2778871,4388279,1318512,3313524,134454,427040,3087309,15349026,2987935,0
1723717630.2375,1004,12911466,19027462,22746716,4411442,65786,13975,2887,4077456,4911979,2067955,3463936,160657,0,1832251,13934529,2900956,0
1723717630.5796,1004,10212294,16816804,17894235,4257345,160564,38887,9496,3883159,2223968,1596043,2274716,88547,0,1016670,13057552,2153607,0
1723717630.9218,1004,9033620,14624106,17380093,2624791,55118,12905,3325,2838305,2356249,2905192,2753662,98674,0,2224177,9894474,2197440,0
1723717631.2639,1004,11009855,18748253,21518423,2651672,32904,8923,2146,2514043,2418898,524532,3209389,166774,726597,1502455,16345939,2257117,0
1723717631.6061,1004,14050380,21806624,25639707,4333606,96955,23663,4730,4256712,3709069,4016157,4253472,201321,0,2962642,14951837,2288226,0
1723717631.9482,1004,18347349,33384773,36328084,9745887,277068,61978,14789,10669511,7443987,6120650,6934461,298803,233985,0,22529461,2843039,0
1723717632.2904,1004,13773979,18957546,20577362,3176283,91250,29313,7208,3349540,3509562,2373260,3625004,159043,0,1471697,13222842,3516579,0
1723746066.9651,1005,90621906,159979595,182168795,59077555,2519849,555596,33552,60079567,44945389,16909255,33877863,680968,0,9722229,110591921,4511576,0
1723746067.3186,1005,175291615,324286494,393514154,103095087,3734036,1000731,55163,103910376,58287654,60003039,71842535,1937647,19941776,0,255281683,25142851,0
1723746067.6722,1005,184003478,305380447,355045794,119890631,3913704,865274,105749,111932425,70731130,81032237,76858401,2448739,18840286,0,184442140,13890369,0
1723746068.0258,1005,187571307,374874337,434167762,121846809,5998373,1554759,157452,116978374,91741711,61882673,81054772,2204215,13446273,38233849,228863254,12864554,0
1723746068.3793,1005,156170423,298548447,372620744,92310931,2135470,569907,41313,96697371,72600477,52376046,53811357,1375780,881694,37607769,209154756,23761608,0
1723746068.7329,1005,203535583,418571190,451363245,155193307,4633709,1200718,54793,154741985,116736860,59462242,85144131,2361678,0,33933974,241230167,19589083,0
1723746069.0865,1005,146906026,285527489,354384274,111933134,997129,262662,28261,111553418,48253390,16038864,55227251,1340979,22349760,25560514,242181744,12076858,0
1723746069.4401,1005,93168802,172705749,184279002,101716148,4610445,1109666,51111,100094825,51957415,26702680,40438961,1064983,0,10687426,94931479,11503250,0
1723746069.7936,1005,133987356,261692479,308129620,81036780,2850122,740764,22605,80681583,58958945,31945445,60310461,1597936,9927408,0,207297821,4910084,0
1723746070.1472,1005,60868437,115697379,125855378,54197075,1007885,228335,10051,53629692,17457391,10532139,24043035,634088,558304,13038561,84268981,6077949,0
1723746070.5008,1005,202732463,365166410,434211991,126097895,3136578,718237,52189,137051142,81151206,46565016,82925309,1913030,0,26636618,279859149,30778829,0
1723746070.8543,1005,211696670,448388586,512102627,171025942,6224273,1566779,116259,169784207,102536504,66595240,107292036,3692684,0,6589127,336381755,26400380,0
1723746071.2079,1005,168674378,291806016,314634719,131007607,655038,130900,9726,119345110,68843183,48082041,65810438,1340428,12646467,31632358,153430668,14141600,0
1723892927.7218,1006,122992241,116446547,138224547,44495690,1217189,137108,23719,49001325,40448704,9917768,17503560,639509,1550882,9121381,77185809,44456731,0
1723892928.052,1006,162604153,175657418,201868728,64287159,1304798,188425,37467,70003296,53797567,7984594,19007317,690937,6572970,17156140,116357455,43847031,0
