timestamp,pid,cpu_cycles,inst_retired,inst_spec,l1d_cache,l1d_cache_refill,ll_cache_miss,ld_spec,st_spec,br_retired,br_mis_pred,crypto_spec,ase_spec,ransomware
1723563817.6925,1001,16750056,36153026,43179735,10184122,521588,49492,7786568,5713478,6757754,223442,3097534,2469450,0
1723563818.1288,1001,8475918,19184903,21497546,4618643,273559,23839,4504681,2686779,3030217,94792,0,974504,0
1723563818.5652,1001,10558852,25236844,29621309,5115203,222927,17487,6731354,4553200,4398394,151069,0,2569473,0
1724130282.9421,1002,52019405,42483999,44486752,6951396,302075,8336,15396496,6775378,7195529,287033,741697,0,0
1724130283.291,1002,105151524,100350114,112330051,19561839,560539,17391,32586284,20599606,13756184,633293,7273653,0,0
1724130283.6399,1002,56725740,49999498,60000853,8168705,373408,14995,13899401,7728760,7195055,248142,4833104,1783540,0
1724130283.9889,1002,99986739,129877933,155436471,19283505,645724,23496,38061574,11557623,22538636,914761,0,0,0
1724130284.3378,1002,61275222,64930306,77408603,17469113,373326,23520,22611009,13216721,10455418,428100,0,5751836,0
1724130284.6868,1002,65610275,59019922,70753266,11489738,301843,12385,24870084,10444753,8149929,350564,33713,1831343,0
1724284763.7975,1003,23809153,54180344,65599859,4274126,77282,8892,15893832,8455869,14704744,917632,0,157379,0
1724284764.1458,1003,24057585,56632432,61807332,10263968,421673,44698,16197561,3757824,12140035,828704,1967901,2269070,0
1724284764.4941,1003,23817624,49543964,53376643,12887249,338167,34754,17524281,5162314,10278336,696297,863615,0,0
1724284764.8424,1003,22305942,51648419,58179044,11814101,241323,27671,10525777,9254843,11618592,893739,454162,2148207,0
1724284765.1907,1003,25014678,58942636,68968489,11413614,561118,46897,21948236,7712415,12493673,779625,0,1424103,0
1724284765.539,1003,38410063,84131938,101200324,18011007,848639,67403,28777019,10438384,18939819,1143087,208175,2222641,0
1724284765.8873,1003,24316880,54025284,64727365,12222634,363081,36186,18270831,4228719,10635272,736739,2814646,4352258,0
1724284766.2356,1003,21081556,48362689,57313891,13581054,202940,20349,9661998,2855533,10822896,753739,1313086,2594125,0
1724284766.5839,1003,8329361,17515687,19009756,2322735,90960,9480,5240392,1600018,3643009,246536,547935,425838,0
1724284766.9321,1003,9455569,17968050,19313266,2308834,102723,9226,5381564,2686320,3619022,220249,0,797166,0
1724284767.2804,1003,18185443,40285658,50173656,6757701,238105,24578,13155642,5976813,8884629,665147,825802,3976496,0
1723717628.8689,1004,6053357,8136234,8366438,2208370,30510,2373,1791052,517658,1528997,79316,749718,0,0
1723717629.211,1004,17498536,26303386,29977003,5090154,111368,3988,7522873,1851946,5543179,272638,879318,2419028,0
1723717629.5532,1004,7604993,8114638,10065711,2177212,39955,3119,1194221,815979,1331286,53611,297103,711352,0
1723717629.8953,1004,12849036,22129471,24570169,2663303,97778,3648,4388279,1318512,3313524,134454,427040,3087309,0
1723717630.2375,1004,12911466,19027462,22746716,4411442,65786,2887,4911979,2067955,3463936,160657,0,1832251,0
1723717630.5796,1004,10212294,16816804,17894235,4257345,160564,9496,2223968,1596043,2274716,88547,0,1016670,0
1723717630.9218,1004,9033620,14624106,17380093,2624791,55118,3325,2356249,2905192,2753662,98674,0,2224177,0
1723717631.2639,1004,11009855,18748253,21518423,2651672,32904,2146,2418898,524532,3209389,166774,726597,1502455,0
1723717631.6061,1004,14050380,21806624,25639707,4333606,96955,4730,3709069,4016157,4253472,201321,0,2962642,0
1723717631.9482,1004,18347349,33384773,36328084,9745887,277068,14789,7443987,6120650,6934461,298803,233985,0,0
1723717632.2904,1004,13773979,18957546,20577362,3176283,91250,7208,3509562,2373260,3625004,159043,0,1471697,0
1723746066.9651,1005,90621906,159979595,182168795,59077555,2519849,33552,44945389,16909255,33877863,680968,0,9722229,0
1723746067.3186,1005,175291615,324286494,393514154,103095087,3734036,55163,58287654,60003039,71842535,1937647,19941776,0,0
1723746067.6722,1005,184003478,305380447,355045794,119890631,3913704,105749,70731130,81032237,76858401,2448739,18840286,0,0
1723746068.0258,1005,187571307,374874337,434167762,121846809,5998373,157452,91741711,61882673,81054772,2204215,13446273,38233849,0
1723746068.3793,1005,156170423,298548447,372620744,92310931,2135470,41313,72600477,52376046,53811357,1375780,881694,37607769,0
1723746068.7329,1005,203535583,418571190,451363245,155193307,4633709,54793,116736860,59462242,85144131,2361678,0,33933974,0
1723746069.0865,1005,146906026,285527489,354384274,111933134,997129,28261,48253390,16038864,55227251,1340979,22349760,25560514,0
1723746069.4401,1005,93168802,172705749,184279002,101716148,4610445,51111,51957415,26702680,40438961,1064983,0,10687426,0
1723746069.7936,1005,133987356,261692479,308129620,81036780,2850122,22605,58958945,31945445,60310461,1597936,9927408,0,0
1723746070.1472,1005,60868437,115697379,125855378,54197075,1007885,10051,17457391,10532139,24043035,634088,558304,13038561,0
1723746070.5008,1005,202732463,365166410,434211991,126097895,3136578,52189,81151206,46565016,82925309,1913030,0,26636618,0
1723746070.8543,1005,211696670,448388586,512102627,171025942,6224273,116259,102536504,66595240,107292036,3692684,0,6589127,0
1723746071.2079,1005,168674378,291806016,314634719,131007607,655038,9726,68843183,48082041,65810438,1340428,12646467,31632358,0
1723892927.7218,1006,122992241,116446547,138224547,44495690,1217189,23719,40448704,9917768,17503560,639509,1550882,9121381,0
1723892928.052,1006,162604153,175657418,201868728,64287159,1304798,37467,53797567,7984594,19007317,690937,6572970,17156140,0
1723892928.3822,1006,49568594,46593482,54682358,13814579,337150,8970,15664072,4416610,7299134,220094,916447,4089368,0
1724478204.8746,1007,33732763,47675613,56991224,16991433,597528,9353,13633695,7169508,9635919,803822,0,4320554,1
1724478205.3184,1007,51234723,73611506,81687748,20382394,1565102,57871,29336228,17436258,11935461,852907,6492961,12401188,1
1724478205.7622,1007,43673268,72201465,85040147,25482275,1943855,112572,25310087,16526748,11978040,740491,7734530,10828823,1
1724323127.728,1008,124487349,120116319,146299782,20376294,101881,838,28271947,18601436,23753356,606680,2318723,11513047,0
1724323128.1387,1008,111039293,128175846,155004942,6014396,54176,680,36640752,19240421,22784439,405246,10056467,0,0
1724323128.5493,1008,266208351,250158586,258007463,47450097,1005335,15307,50892242,22178857,49343684,750436,0,0,0
1724323128.9599,1008,149863967,163863806,200693952,38582324,300109,6019,59843574,12575645,30224861,565786,13380766,9455818,0
1724323129.3705,1008,91083680,122390699,132292798,12467265,318488,7323,9116052,4435760,21962331,542690,900776,0,0
1724323129.7812,1008,102814211,111594876,134519134,20956103,104780,2604,29304195,16867363,24367839,546576,0,1874497,0
1724323130.1918,1008,62834466,61309945,67179168,15520111,211298,4390,11099610,10935797,12045639,259135,5847528,1659866,0
1724323130.6024,1008,168749457,185457261,217700482,31682164,158410,1621,37077339,20479809,36845119,860058,18362133,6152681,0
1724323131.013,1008,128289447,167032678,192082222,16581129,82905,2001,41177740,8697451,32143824,311369,1692226,0,0
1724323131.4237,1008,212033286,123991347,138380846,10010288,70400,938,31795295,15763474,25050937,674562,8102873,4124748,0
1724323131.8343,1008,68581544,67408854,71679143,22809205,385893,7221,15919375,10571845,11918859,400944,0,1656812,0
1724323132.2449,1008,96608656,110023900,135074968,15330215,334251,3455,40136353,14216666,20890090,500840,6600165,3679561,0
1724323132.6555,1008,220309841,261798022,309655773,52817552,264087,4212,62017456,47025739,42521343,959333,18435946,0,0
1724323133.0662,1008,83843784,88197986,99010773,19459555,182929,2858,10686496,15266810,16391539,419027,8462233,3239647,0
